#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_011916.1",202,1107,"+",7332728,,"CCNA_00001","YP_002515376.1",301,"pyruvate, phosphate dikinase regulatory protein"
"chromosome","NC_011916.1",1104,1703,"+",7333143,,"CCNA_00002","YP_002515377.1",199,"Maf-family nucleoside triphosphate pyrophosphatase"
"chromosome","NC_011916.1",1700,2557,"+",7333144,,"CCNA_00003","YP_002515378.1",285,"shikimate 5-dehydrogenase"
"chromosome","NC_011916.1",2559,3158,"+",7333145,,"CCNA_00004","YP_002515379.1",199,"dephospho-CoA kinase"
"chromosome","NC_011916.1",3190,3903,"+",7333146,"dnaQ","CCNA_00005","YP_002515380.1",237,"DNA polymerase III, epsilon chain"
"chromosome","NC_011916.1",4022,4810,"+",7333147,,"CCNA_00006","YP_002515381.1",262,"enoyl-CoA hydratase/isomerase"
"chromosome","NC_011916.1",4960,5235,"+",7333148,,"CCNA_00007","YP_002515382.2",91,"SSU ribosomal protein S20P"
"chromosome","NC_011916.1",5636,7108,"+",7333149,"dnaA","CCNA_00008","YP_002515383.1",490,"chromosome replication initiator protein DnaA"
"chromosome","NC_011916.1",7170,7790,"-",7333150,"alkB","CCNA_00009","YP_002515384.1",206,"alkylated DNA repair protein AlkB"
"chromosome","NC_011916.1",8165,10060,"+",7333151,"dnaK","CCNA_00010","YP_002515385.1",631,"chaperone protein DnaK"
"chromosome","NC_011916.1",10223,11380,"+",7333152,"dnaJ","CCNA_00011","YP_002515386.1",385,"chaperone protein DnaJ"
"chromosome","NC_011916.1",11467,14178,"+",7333153,"mutS","CCNA_00012","YP_002515387.1",903,"DNA mismatch repair protein MutS"
"chromosome","NC_011916.1",14199,17021,"+",7332895,"glnD","CCNA_00013","YP_002515388.1",940,"protein-PII uridylyltransferase"
"chromosome","NC_011916.1",17018,17494,"-",7332104,"moaC","CCNA_00014","YP_002515389.1",158,"molybdenum cofactor biosynthesis protein C"
"chromosome","NC_011916.1",17491,18042,"-",7332105,"moaB","CCNA_00015","YP_002515390.1",183,"molybdenum cofactor biosynthesis protein B"
"chromosome","NC_011916.1",18043,18495,"-",7332106,"moaE","CCNA_00016","YP_002515391.1",150,"molybdopterin converting factor, large subunit"
"chromosome","NC_011916.1",18492,18731,"-",7332107,"moaD","CCNA_00017","YP_002515392.1",79,"molybdopterin converting factor, small subunit"
"chromosome","NC_011916.1",18735,19784,"-",7332108,"moaA","CCNA_00018","YP_002515393.1",349,"molybdenum cofactor biosynthesis protein A"
"chromosome","NC_011916.1",19815,20447,"+",7332109,,"CCNA_00019","YP_002515394.1",210,"molybdopterin-guanine dinucleotide biosynthesis protein A"
"chromosome","NC_011916.1",20444,20668,"-",7332110,,"CCNA_00020","YP_002515395.1",74,"hypothetical protein CCNA_00020"
"chromosome","NC_011916.1",20665,20778,"-",18668783,,"CCNA_03911","YP_009020482.1",37,"hypothetical protein CCNA_03911"
"chromosome","NC_011916.1",20840,23032,"-",7332111,,"CCNA_00021","YP_002515396.1",730,"putative aerobic-type carbon monoxide dehydrogenase, large subunit CoxL"
"chromosome","NC_011916.1",23029,23559,"-",7332112,,"CCNA_00022","YP_002515397.1",176,"putative aerobic-type carbon monoxide dehydrogenase, small subunit CoxS"
"chromosome","NC_011916.1",23742,24074,"+",7332113,,"CCNA_00023","YP_002515398.2",110,"mliC-family lysozyme inhibitor protein"
"chromosome","NC_011916.1",24091,24981,"+",7332114,,"CCNA_00024","YP_002515399.1",296,"uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase"
"chromosome","NC_011916.1",24991,26643,"-",7332115,,"CCNA_00025","YP_002515400.1",550,"major facilitator superfamily transporter"
"chromosome","NC_011916.1",26701,29403,"-",7332116,"cckO","CCNA_00026","YP_002515401.1",900,"PAS-family sensor histidine kinase CckO"
"chromosome","NC_011916.1",29502,30191,"-",7332117,,"CCNA_00027","YP_002515402.1",229,"2OG-Fe(II) oxygenase"
"chromosome","NC_011916.1",30337,32658,"-",7332118,,"CCNA_00028","YP_002515403.2",773,"TonB-dependent receptor"
"chromosome","NC_011916.1",32914,33546,"+",7332119,,"CCNA_00029","YP_002515404.1",210,"RhtB-family efflux protein"
"chromosome","NC_011916.1",33595,34329,"+",7332120,,"CCNA_00030","YP_002515405.1",244,"Ribonuclease I"
"chromosome","NC_011916.1",34312,34698,"-",7332121,"vapC","CCNA_00031","YP_002515406.1",128,"toxin protein VapC"
"chromosome","NC_011916.1",34699,34941,"-",7332122,"vapB","CCNA_00032","YP_002515407.1",80,"antitoxin protein VapB"
"chromosome","NC_011916.1",35047,35667,"-",18668785,,"CCNA_03912","YP_009020483.1",206,"hypothetical protein CCNA_03912"
"chromosome","NC_011916.1",35824,37962,"-",7332123,"pnp","CCNA_00033","YP_002515408.1",712,"polyribonucleotide nucleotidyltransferase"
"chromosome","NC_011916.1",38211,38480,"-",7332124,,"CCNA_00034","YP_002515409.1",89,"SSU ribosomal protein S15P"
"chromosome","NC_011916.1",38495,39427,"-",7332125,,"CCNA_00035","YP_002515410.1",310,"tRNA pseudouridine synthase B"
"chromosome","NC_011916.1",39430,39879,"-",7332126,,"CCNA_00036","YP_002515411.1",149,"ribosome-binding factor A"
"chromosome","NC_011916.1",39980,40768,"-",7332127,,"CCNA_00037","YP_002515412.1",262,"Dienelactone hydrolase-family protein"
"chromosome","NC_011916.1",40828,41403,"-",7332128,,"CCNA_00038","YP_002515413.1",191,"hypothetical protein CCNA_00038"
"chromosome","NC_011916.1",41403,41921,"-",7332129,,"CCNA_00039","YP_002515414.1",172,"hypothetical protein CCNA_00039"
"chromosome","NC_011916.1",41960,42511,"-",7332130,,"CCNA_00040","YP_002515415.2",183,"YcxB-like membrane protein"
"chromosome","NC_011916.1",42585,45614,"-",7332131,,"CCNA_00041","YP_002515416.2",1009,"protein translation initiation factor 2 IF-2"
"chromosome","NC_011916.1",45893,46543,"-",7332132,,"CCNA_00042","YP_002515417.1",216,"RNA-binding protein, YlxR family"
"chromosome","NC_011916.1",46622,48268,"-",7332133,"nusA","CCNA_00043","YP_002515418.1",548,"Transcription termination/antitermination protein NusA"
"chromosome","NC_011916.1",48271,48846,"-",7332134,,"CCNA_00044","YP_002515419.1",191,"ribosome maturation protein RimP"
"chromosome","NC_011916.1",49105,49638,"+",7332135,,"CCNA_00045","YP_002515420.1",177,"inorganic pyrophosphatase"
"chromosome","NC_011916.1",49645,50031,"-",7332136,,"CCNA_00046","YP_002515421.1",128,"hypothetical protein CCNA_00046"
"chromosome","NC_011916.1",50132,50812,"-",7332137,,"CCNA_00047","YP_002515422.1",226,"tRNA m7-G46 methyltransferase"
"chromosome","NC_011916.1",50902,52125,"-",7332138,"metK","CCNA_00048","YP_002515423.1",407,"S-adenosylmethionine synthetase"
"chromosome","NC_011916.1",52245,52679,"-",7332139,"hipB","CCNA_00049","YP_002515424.1",144,"HTH transcriptional regulator"
"chromosome","NC_011916.1",52707,54299,"-",7332140,"lnt","CCNA_00050","YP_002515425.1",530,"apolipoprotein N-acyltransferase Lnt"
"chromosome","NC_011916.1",54296,55222,"-",7332141,"corC","CCNA_00051","YP_002515426.1",308,"magnesium and cobalt efflux protein CorC"
"chromosome","NC_011916.1",55231,55686,"-",7332142,,"CCNA_00052","YP_002515427.3",151,"YbeY-family hydrolase"
"chromosome","NC_011916.1",55724,56668,"-",7332143,"phoH","CCNA_00053","YP_002515428.1",314,"phosphate starvation-inducible protein PhoH"
"chromosome","NC_011916.1",56665,58011,"-",7332144,,"CCNA_00054","YP_002515429.1",448,"tRNA 2-methylthioadenosine synthase"
"chromosome","NC_011916.1",58201,58608,"-",7332145,,"CCNA_00055","YP_002515430.1",135,"ferric uptake regulation protein"
"chromosome","NC_011916.1",58654,59106,"-",7332146,,"CCNA_00056","YP_002515431.1",150,"ribosomal-protein-S18-alanine acetyltransferase"
"chromosome","NC_011916.1",59115,59750,"-",7332147,,"CCNA_00057","YP_002515432.1",211,"tRNA threonylcarbamoyl adenosine modification protein, YeaZ family"
"chromosome","NC_011916.1",59754,60386,"-",7332148,,"CCNA_00058","YP_002515433.1",210,"hypothetical protein CCNA_00058"
"chromosome","NC_011916.1",60534,61121,"-",7332149,,"CCNA_00059","YP_002515434.1",195,"malonic semialdehyde reductase"
"chromosome","NC_011916.1",61191,61763,"-",7332150,,"CCNA_00060","YP_002515435.1",190,"mitochondrial-type Fe-S cluster assembly protein NFU"
"chromosome","NC_011916.1",61885,63153,"+",7332151,,"CCNA_00061","YP_002515436.2",422,"cytochrome p450"
"chromosome","NC_011916.1",63327,64361,"-",7332152,"trpS","CCNA_00062","YP_002515437.1",344,"tryptophanyl-tRNA synthetase"
"chromosome","NC_011916.1",64440,64487,"-",18668787,,"CCNA_03913","YP_009020484.1",15,"hypothetical protein CCNA_03913"
"chromosome","NC_011916.1",64529,66091,"-",7332153,"mviN","CCNA_00063","YP_002515438.1",520,"Peptidoglycan biosynthesis protein MviN/MurJ"
"chromosome","NC_011916.1",66331,68127,"-",7332154,,"CCNA_00064","YP_002515439.1",598,"methyl-accepting chemotaxis protein"
"chromosome","NC_011916.1",68179,68196,"-",18668788,,"CCNA_03914","YP_009020485.1",5,"hypothetical protein CCNA_03914"
